Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01K35F4PH0SGJHYCW62CF186H4,60212228,2025,E-Katalog 6.0,APBD,DEDEH DIHARSAH,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat (KESJAOR / PEMBINAAN KEBUGARAN ANAK SEKOLAH),ON PROCESS,2730000,2730000
KAB. MAJALENGKA,PUSKESMAS ARGAPURA - 1.02.0.00.0.00.01.0001,01JWQ44ZYQQYTK7DKE0EZFXN1C,56075702,2025,E-Katalog 6.0,APBD,ARANI CIPTA KARYA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD UPTD Puskesmas Argapura,ON PROCESS,2815000,2815000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,01K8ACNQVNMTW7JXW3NR7NK5FZ,61310969,2025,E-Katalog 6.0,APBD,SAHLA FATWA,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,ON PROCESS,44850000,44850000
KAB. MAJALENGKA,PUSKESMAS SALAGEDANG - 1.02.0.00.0.00.01.0014,01K6ET7KNHTBJ21YA28X0HKFYS,60875261,2025,E-Katalog 6.0,APBD,ALHAMDULILLAH,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD PKM Salagedang,ON PROCESS,2493988,2493988
KAB. MAJALENGKA,PUSKESMAS JATITUJUH - 1.02.0.00.0.00.01.0017,11851141,55782975,2025,E-Katalog 5.0,APBD,CV AURORA DUA,E-Purchasing,Pengadaan Barang,Widal Salmonella Typhi O,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,645000,645000
KAB. MAJALENGKA,BADAN KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,01KC5VM6KTAHQPDABMWABDDK5Z,60866033,2025,E-Katalog 6.0,APBD,PRATAMA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAYMENT OUTSIDE SYSTEM,1590600,1590600
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01KBEE7PYV303XFKPRH3VSB77X,55580999,2025,E-Katalog 6.0,APBD,KILAT MAJU,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,PAYMENT OUTSIDE SYSTEM,1598400,1598400
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,11938919,59702821,2025,E-Katalog 5.0,APBD,CV. ASTHA PILAR ANGKASA,E-Purchasing,Pengadaan Barang,pekerjaan acian,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,25888800,25888800
KAB. MAJALENGKA,PUSKESMAS SUMBERJAYA - 1.02.0.00.0.00.01.0005,12020829,55785395,2025,E-Katalog 5.0,BLUD,JAYA ANUGERAH RATU,E-Purchasing,Pengadaan Barang,Sterile Surgical Blades No. 11,PAKET SELESAI,315000,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01JSX5WMVD1BDSTPXGZR3P8PTW,58834907,2025,E-Katalog 6.0,APBD,AGAM MITRA MANDIRI,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat (Makanan dan Minuman Lembur - sub kegiatan Penyediaan Bahan Logistik Kantor),ON PROCESS,4320000,4320000
KAB. MAJALENGKA,SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN - 1.05.0.00.0.00.03.0000,01K9ZK54EAV0MT6K53YQ39WJH0,55039070,2025,E-Katalog 6.0,APBD,KILAT MAJU,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,ON PROCESS,4334200,4334200
KAB. MAJALENGKA,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,11697149,57552072,2025,E-Katalog 5.0,APBD,CV. RIDO UTAMA,E-Purchasing,Pengadaan Barang,Alat Pel Putar,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1250000,1250000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,11640955,54875171,2025,E-Katalog 5.0,APBD,PT. Kimia Farma Tbk,E-Purchasing,Pengadaan Barang,Furosemid/ Furosemide tablet/kapsul/kaplet 40 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2220000,2220000
KAB. MAJALENGKA,PUSKESMAS LIGUNG - 1.02.0.00.0.00.01.0011,01K1CRNNHE8VAPDM369Z33RA0J,55781327,2025,E-Katalog 6.0,APBD,KENARA PELITA RAYA,E-Purchasing,Barang,Belanja Barang dan Jasa BOK Puskesmas OPS (UPTD Puskesmas Ligung),PAYMENT OUTSIDE SYSTEM,2100000,2100000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01JZMCQXD2Y5TVY3ADXSFE5NRT,56021348,2025,E-Katalog 6.0,APBD,BUMI MAJALENGKA PERMAI,E-Purchasing,Jasa Lainnya,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,ON PROCESS,32000000,32000000
KAB. MAJALENGKA,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN - 1.04.2.10.1.03.01.0000",11862947,58663710,2025,E-Katalog 5.0,APBD,cv.multi kreasi,E-Purchasing,Pengadaan Barang,Pemasangan Pipa PVC/HDPE dia 20 mm Penyambungan (Expose),MELAKUKAN PENGIRIMAN DAN PENERIMAAN,798875,798875
KAB. MAJALENGKA,LABKESDA MAJALENGKA - 1.02.0.00.0.00.01.0033,01K2K4XF0YA4XC66GYQGA0ZKCP,56276450,2025,E-Katalog 6.0,BLUD,ALHAMDULILLAH,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD ,PAYMENT OUTSIDE SYSTEM,3470998,3470998
KAB. MAJALENGKA,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA - 5.03.5.04.0.00.01.0000,01JVP74N9M638ZTCMN33WJ932Q,55883040,2025,E-Katalog 6.0,APBD,BANJARAN SARI JAYA,E-Purchasing,Jasa Lainnya,Belanja Sewa Alat Kantor Lainnya,PAYMENT OUTSIDE SYSTEM,3500000,3500000
KAB. MAJALENGKA,PUSKESMAS CINGAMBUL - 1.02.0.00.0.00.01.0007,11968585,56492372,2025,E-Katalog 5.0,APBD,NOVAPHARIN,E-Purchasing,Pengadaan Barang,Ciprofloxacin hydrochloride (HCl)/ Ciprofloxacin Lactate/ Ciprofloxacin/ Siprofloksasin tablet/kapsul/kaplet 500 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2295000,2295000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,01K9ZXZEFAJ3T1G8G3F5RFP5HT,61350988,2025,E-Katalog 6.0,BLUD,HARSEN LABORATORIES,E-Purchasing,Barang,Penyediaan Barang dan Jasa BLUD (Barang Sediaan) e- Purchasing,ON PROCESS,30616575,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,11806869,58829927,2025,E-Katalog 5.0,APBD,PT BUMI MARGA KONSTRUKSI,E-Purchasing,Pengadaan Barang,"Pekerjaan Gorong-gorong Kotak Beton Bertulang, Ukuran dalam 60 cm x 60 cm, Terpasang",PROSES KONTRAK PPK,23704270,23704270
KAB. MAJALENGKA,BADAN KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,01KBM1TDP6NKJXZYHBPNDPG66C,60885416,2025,E-Katalog 6.0,APBD,PRATAMA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAYMENT OUTSIDE SYSTEM,3375000,3375000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10604517000,61041233,2025,Non Tender,APBDP,POETRA KOEJANG,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Ranji Wetan),SELESAI,199187485,199187485
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10527713000,61042578,2025,Non Tender,APBDP,CV. PUTRA CIKAL MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat (Pemeliharaan Jalan Kagok - Walangsuji (Pajak Rokok)),SELESAI,198681951,198681951
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01JZVKTTZZDHPFTYX50FASH9XS,59226315,2025,E-Katalog 6.0,APBD,AGAM MITRA MANDIRI,E-Purchasing,Pekerjaan Konstruksi,"Bahan Bangunan dan Konstruksi (Pemeliharaan Mess Pendopo , Gd. Yudha, Kantor KDH & WKDH )",ON PROCESS,49777500,49777500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,11442806,56601447,2025,E-Katalog 5.0,APBD,PT. Bintang Service Management,E-Purchasing,Pengadaan Barang,Teknisi Mekanik Listrik,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,86400000,86400000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,01KAYVBW70ZJ7ABKW9GJ25MYSQ,61350988,2025,E-Katalog 6.0,BLUD,EISAI INDONESIA,E-Purchasing,Barang,Penyediaan Barang dan Jasa BLUD (Barang Sediaan) e- Purchasing,ON PROCESS,20271597,20271597
KAB. MAJALENGKA,KECAMATAN MAJALENGKA - 7.01.0.00.0.00.17.0000,10295465000,59353219,2025,Non Tender,APBD,CV MOVE ON,Pengadaan Langsung,Pekerjaan Konstruksi,Hotmix gang Lingkungan Mukti Asih Rt.13 & Rt.14 Kelurahan Sindangkasih,SELESAI,79888194,79888194
KAB. MAJALENGKA,PUSKESMAS SUKAHAJI - 1.02.0.00.0.00.01.0003,11820033,55778938,2025,E-Katalog 5.0,BLUD,PT. Kimia Farma Tbk,E-Purchasing,Pengadaan Barang,Amlodipin/ Amlodipine/ Amlodipine besilate tablet/kapsul/kaplet 10 mg-KF,PAKET SELESAI,1220000,1220000
