Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10768460000,64810771,2026,Non Tender,APBD,CV. YAD JAYA PERKASA,Pengadaan Langsung,Pengadaan Barang,"Belanja Bahan-Bahan Bangunan dan Konstruksi (Bahan Pemeliharaan Jaringan Irigasi Saluran Cikondang, Bahan Pemeliharaan Jaringan Irigasi Saluran Cipetek, Bahan Pemeliharaan Jaringan Irigasi Saluran Cisela) pada UPTD SDA Bantarujeg",SELESAI,51585375,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KJS58BZ7AV2SEXDKPTFDPTN4,66067113,2026,E-Katalog 6.0,APBD,AILSA NANDA,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat Forum OPD (Makan Rapat dan Snack Rapat Pelaksanaan Forum OPD),ON PROCESS,9500000,9500000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KGP8TAR2HTNRFKTPSZ234VGP,64642120,2026,E-Katalog 6.0,APBD,AILSA NANDA,E-Purchasing,Barang," Belanja Makanan dan Minuman Rapat (Jamuan Makan dan Snack Rapat Bagian Umum)",ON PROCESS,3087500,3087500
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KH2KPT0GEZNYHZ8SCH559P4P,64821462,2026,E-Katalog 6.0,APBD,AGAM MITRA MANDIRI,E-Purchasing,Barang,Belanja Bahan-Bahan Bakar dan Pelumas (Operasional UPTD SDA Sumberjaya Minyak Pelumas Oli dan Oli Samping),ON PROCESS,1017000,1017000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10767196000,63465961,2026,Non Tender,APBD,CV. POLA KARYA PRATAMA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei (Pemutakhiran Data Kondisi Jalan Wilayah Selatan),SELESAI,99561450,99561450
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10773810000,63510365,2026,Non Tender,APBD,POETRA KOEJANG,Pengadaan Langsung,Pengadaan Barang,Belanja Bahan-Bahan Bangunan dan Konstruksi (Belanja Bahan Untuk Unit Reaksi Cepat UPTD Majalengka (Tahap 2)),SELESAI,99290926,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10768592000,64812639,2026,Non Tender,APBD,CV. CIFAS,Pengadaan Langsung,Pengadaan Barang,"Belanja Bahan-Bahan Bangunan dan Konstruksi (Bahan Pemeliharaan Jaringan Irigasi Sekunder BSL 18 Daerah Irigasi Ciherang Hilir, Bahan Pemeliharaan Jaringan Irigasi Sekunder Cijuray 3 Daerah Irigasi Cijurey, Bahan Pemeliharaan Jaringan Irigasi Sekunder Selamet BSL 1 Daerah Irigasi Ciherang Hilir) pada UPTD SDA Jatiwangi",SELESAI,53180484,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10796690000,65565744,2026,Non Tender,APBD,CV. SAMPURNA KAYA RAYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan KH Abdul Kodir),SELESAI,298846116,298846116
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KJS0EN1Y95N3FY96535W5B7X,64732654,2026,E-Katalog 6.0,APBD,PURAJAYA,E-Purchasing,Barang,Belanja Suku Cadang-Suku Cadang Alat Angkutan (Suku Cadang Alat Angkutan),ON PROCESS,42000000,42000000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KGPC2RZFQRXT19TKMS43BDFS,65134654,2026,E-Katalog 6.0,APBD,AILSA NANDA,E-Purchasing,Barang," Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak - Penyediaan Spanduk dan Backdrop / Baligo (Sub Kegiatan Penyediaan Barang Cetakan dan Penggandaan)",ON PROCESS,11199989,11199989
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10787702000,65480168,2026,Non Tender,APBD,ARKASHA UTAMA CONSTRUCTION,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Abdul Majid),SELESAI,199321318,199321318
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,01KKJQC0Z4PKFKZ253YEWP970V,65134654,2026,E-Katalog 6.0,APBD,AILSA NANDA,E-Purchasing,Barang," Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak - Penyediaan Spanduk dan Backdrop / Baligo (Sub Kegiatan Penyediaan Barang Cetakan dan Penggandaan)",ON PROCESS,4100000,4100000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10786812000,65518318,2026,Non Tender,APBD,cv dharmawan jaya,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Gandu - Sinarjati),SELESAI,298413943,298413943
